Student_ID,Date,Day,Sleep_Hours,Study_Hours,Class_Attendance,Meal_Count,Physical_Activity,Screen_Time_Hours,Mood
STD096,2025-03-29,Saturday,9.4,4.4,False,1,Walk,4.9,Happy
STD104,2025-03-18,Tuesday,6.7,6.3,False,2,Walk,5.2,Stressed
STD095,2025-03-21,Friday,7.4,7.7,False,1,Gym,6.8,Neutral
STD197,2025-03-27,Thursday,5.7,7.5,True,1,Walk,7.1,Happy
STD164,2025-04-13,Sunday,6.5,3.7,False,4,Walk,4.1,Happy
STD187,2025-02-18,Tuesday,6.3,3.9,True,2,Walk,6.8,Happy
STD135,2025-03-07,Friday,4.3,7.9,True,4,Gym,2.0,Neutral
STD146,2025-03-09,Sunday,5.6,6.4,True,3,None,1.4,Stressed
STD032,2025-04-15,Tuesday,5.2,2.5,True,4,Sports,6.4,Neutral
STD031,2025-04-13,Sunday,4.6,7.3,True,3,None,2.0,Neutral
STD182,2025-03-19,Wednesday,7.6,3.6,True,1,None,8.8,Stressed
STD173,2025-03-16,Sunday,9.3,2.4,False,3,Gym,1.7,Neutral
STD190,2025-04-14,Monday,7.6,5.4,True,1,Gym,4.7,Happy
STD148,2025-04-15,Tuesday,6.4,6.3,True,1,Walk,4.3,Stressed
STD024,2025-03-27,Thursday,9.4,0.9,True,3,Gym,9.6,Neutral
STD027,2025-03-25,Tuesday,8.4,0.8,False,1,Gym,7.1,Stressed
STD114,2025-03-09,Sunday,6.3,4.0,False,3,Walk,9.0,Happy
STD160,2025-04-09,Wednesday,9.0,5.9,True,4,None,2.3,Happy
STD011,2025-04-12,Saturday,7.4,5.9,True,1,None,6.7,Sad
STD051,2025-03-05,Wednesday,9.9,0.3,False,4,None,1.7,Happy
STD008,2025-02-20,Thursday,7.4,1.8,True,4,Gym,4.4,Neutral
STD183,2025-03-23,Sunday,8.7,6.2,True,3,Walk,5.8,Stressed
STD143,2025-03-27,Thursday,5.0,2.5,True,1,None,4.2,Neutral
STD050,2025-04-05,Saturday,6.2,2.5,True,1,Walk,5.9,Stressed
STD060,2025-02-27,Thursday,5.4,2.1,False,3,Gym,5.3,Neutral
STD190,2025-03-15,Saturday,7.4,5.9,False,2,None,8.0,Sad
STD067,2025-02-22,Saturday,8.0,0.2,False,3,Walk,8.9,Neutral
STD177,2025-03-21,Friday,6.2,1.2,True,4,Sports,4.8,Sad
STD007,2025-02-21,Friday,6.4,3.2,False,4,Walk,3.1,Happy
STD040,2025-02-17,Monday,9.1,6.0,True,4,None,5.1,Happy
STD134,2025-03-27,Thursday,6.4,3.5,False,1,Walk,6.4,Happy
STD140,2025-02-21,Friday,6.8,1.6,True,3,None,2.9,Neutral
STD066,2025-04-14,Monday,6.4,4.4,True,3,None,1.9,Stressed
STD115,2025-03-08,Saturday,5.4,5.8,False,1,Sports,4.0,Neutral
STD007,2025-02-18,Tuesday,5.6,4.7,True,3,None,3.1,Stressed
STD108,2025-04-02,Wednesday,8.3,4.3,True,4,Sports,4.1,Stressed
STD008,2025-03-01,Saturday,9.7,3.6,True,4,Sports,7.0,Sad
STD086,2025-03-16,Sunday,4.8,2.4,False,4,None,8.2,Neutral
STD099,2025-02-27,Thursday,7.7,0.8,True,2,Sports,8.7,Neutral
STD104,2025-04-11,Friday,8.3,4.4,False,2,Sports,1.3,Neutral
STD151,2025-03-26,Wednesday,8.4,5.9,True,2,Walk,9.7,Stressed
STD120,2025-03-11,Tuesday,9.4,2.0,True,2,Gym,9.5,Stressed
STD045,2025-03-21,Friday,6.9,4.0,True,1,None,3.4,Happy
STD163,2025-03-11,Tuesday,5.4,6.8,True,3,Sports,2.0,Sad
STD176,2025-04-02,Wednesday,7.3,3.6,False,3,Walk,2.4,Happy
STD069,2025-04-08,Tuesday,9.2,2.0,False,4,None,4.9,Neutral
STD177,2025-02-22,Saturday,9.3,3.2,True,4,Sports,1.4,Happy
STD037,2025-03-06,Thursday,9.4,7.2,True,3,Sports,1.1,Neutral
STD102,2025-02-18,Tuesday,5.1,0.0,False,3,Walk,3.0,Happy
STD154,2025-04-11,Friday,4.5,6.9,False,4,None,8.2,Sad
STD093,2025-04-07,Monday,7.7,4.1,True,3,Sports,7.7,Neutral
STD066,2025-03-14,Friday,8.8,7.2,True,2,None,8.0,Happy
STD156,2025-02-25,Tuesday,7.9,3.4,False,2,Walk,9.0,Neutral
STD158,2025-03-07,Friday,9.6,2.3,True,2,Walk,5.9,Happy
STD047,2025-03-04,Tuesday,6.4,6.9,False,1,Gym,5.0,Stressed
STD069,2025-03-20,Thursday,8.0,3.0,False,3,Sports,9.0,Happy
STD135,2025-04-14,Monday,9.1,5.9,False,2,Gym,1.5,Happy
STD002,2025-03-14,Friday,4.1,2.6,False,3,Sports,4.8,Neutral
STD084,2025-03-30,Sunday,4.1,5.8,True,1,None,9.0,Stressed
STD039,2025-03-14,Friday,6.0,0.1,True,4,Sports,1.9,Neutral
STD158,2025-04-01,Tuesday,5.6,6.7,False,1,None,8.4,Happy
STD022,2025-02-27,Thursday,4.6,1.9,True,2,None,1.9,Stressed
STD200,2025-03-23,Sunday,7.1,6.6,False,3,None,7.2,Happy
STD130,2025-03-04,Tuesday,7.9,5.3,True,4,None,3.2,Neutral
STD178,2025-03-12,Wednesday,9.2,7.9,False,3,Gym,6.4,Happy
STD016,2025-03-08,Saturday,8.2,0.7,True,3,Walk,6.8,Neutral
STD161,2025-03-16,Sunday,5.2,7.8,True,4,None,9.2,Neutral
STD138,2025-02-25,Tuesday,4.8,2.3,False,1,Gym,10.0,Neutral
STD123,2025-03-12,Wednesday,9.0,5.1,True,4,Sports,5.4,Sad
STD005,2025-03-18,Tuesday,8.1,2.2,False,1,Walk,6.7,Sad
STD109,2025-04-14,Monday,6.2,1.8,False,4,None,7.4,Neutral
STD018,2025-03-10,Monday,4.9,1.9,True,4,Walk,8.7,Neutral
STD178,2025-03-30,Sunday,5.0,1.5,False,2,Sports,4.4,Neutral
STD117,2025-03-05,Wednesday,4.3,0.4,True,3,None,5.1,Neutral
STD198,2025-03-09,Sunday,10.0,4.8,False,1,Gym,2.1,Happy
STD114,2025-04-13,Sunday,9.9,2.3,True,3,None,4.8,Stressed
STD127,2025-03-26,Wednesday,8.9,4.3,False,2,Gym,6.0,Happy
STD022,2025-03-17,Monday,4.7,3.3,True,4,Walk,3.1,Neutral
STD140,2025-02-19,Wednesday,5.5,2.1,True,3,Sports,7.1,Sad
STD158,2025-03-05,Wednesday,8.8,7.3,True,4,None,2.1,Stressed
STD033,2025-02-20,Thursday,7.5,2.4,False,3,Sports,5.2,Stressed
STD118,2025-03-28,Friday,8.3,4.3,False,2,Sports,3.0,Neutral
STD039,2025-02-27,Thursday,6.5,3.2,False,2,Sports,4.0,Neutral
STD035,2025-04-11,Friday,8.4,0.0,False,4,Gym,1.3,Sad
STD124,2025-03-21,Friday,6.5,0.7,False,4,None,2.9,Stressed
STD148,2025-03-17,Monday,8.0,1.5,True,1,None,2.5,Stressed
STD026,2025-04-11,Friday,5.7,0.8,False,4,Gym,8.3,Neutral
STD037,2025-04-10,Thursday,9.6,0.3,False,2,Sports,1.6,Neutral
STD131,2025-02-26,Wednesday,9.1,7.0,False,1,None,5.4,Neutral
STD065,2025-03-08,Saturday,6.8,6.3,False,4,Sports,9.8,Happy
STD060,2025-04-10,Thursday,6.6,2.5,False,1,Sports,3.3,Happy
STD150,2025-03-13,Thursday,6.4,7.0,True,3,Sports,4.0,Happy
STD183,2025-04-03,Thursday,5.1,6.6,True,4,Sports,4.1,Neutral
STD009,2025-03-03,Monday,9.8,5.7,True,4,Gym,5.5,Happy
STD007,2025-04-07,Monday,9.1,0.3,False,3,None,1.9,Neutral
STD049,2025-02-23,Sunday,7.5,4.4,True,1,Walk,7.8,Stressed
STD052,2025-04-08,Tuesday,7.6,8.0,True,1,None,1.3,Neutral
STD173,2025-03-25,Tuesday,4.1,5.9,False,4,Walk,3.8,Sad
STD113,2025-03-26,Wednesday,5.3,2.1,False,4,Walk,6.3,Neutral
STD183,2025-03-06,Thursday,10.0,1.9,False,1,None,2.1,Neutral
STD107,2025-02-25,Tuesday,9.6,2.3,False,3,Sports,9.3,Happy
STD048,2025-04-04,Friday,5.4,2.9,False,4,Gym,7.0,Happy
STD107,2025-02-24,Monday,9.8,1.4,True,3,Gym,8.7,Stressed
STD114,2025-02-26,Wednesday,6.3,1.7,False,2,Walk,9.5,Stressed
STD152,2025-02-22,Saturday,6.9,1.0,True,3,Sports,7.8,Neutral
STD152,2025-02-22,Saturday,8.4,2.7,False,3,None,7.4,Stressed
STD073,2025-02-27,Thursday,9.3,2.5,True,4,Gym,3.2,Neutral
STD145,2025-03-08,Saturday,4.3,1.4,True,4,Walk,9.0,Neutral
